EXPEDIENTE;TIPO;ACTIVIDAD;REGIÓN;PROVINCIA;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
143318;ANÓNIMA;G4649.24;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;12032,59;11998,96;0;0
76980;ANÓNIMA;G4663.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;5;11136,74;11136,4;96;94,46
706865;ANÓNIMA;G4752.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;7;10731,26;4702,48;89978,41;2386,37
702831;ANÓNIMA;G4630.32;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;10523,61;10523,61;0;0
307525;RESPONSABILIDAD LIMITADA;G4721.06;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;7;10439,83;4651,91;0;-1348,09
715646;ANÓNIMA;G4722.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;10175,14;-8856,64;9631,16;-9656,64
175194;ANÓNIMA;G4663.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;0;10044,67;4147,04;36389,36;3347,04
704893;ANÓNIMA;G4661.03;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;10000;10000;0;0
720954;RESPONSABILIDAD LIMITADA;G4791.00;SIERRA;TUNGURAHUA;MICROEMPRESA;SOCIETARIO;6;10000;10000;0;0
129704;ANÓNIMA;G4711.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;9863,73;9863,73;0;0
144579;ANÓNIMA;G4651.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;9327,15;9251,35;0;0
110208;ANÓNIMA;G4530.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;9015,35;6716,82;93347,78;3934,52
713762;ANÓNIMA;G4711.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;8;9000;9000;0;0
721037;ANÓNIMA;G4711.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;9000;9000;0;0
721117;ANÓNIMA;G4610.07;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;8;9000;9000;0;0
111529;ANÓNIMA;G4659.23;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;14;8911,74;4431,94;18000;2017,4
20713;RESPONSABILIDAD LIMITADA;G4651.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;8746,31;8746,31;0;0
25750;RESPONSABILIDAD LIMITADA;G4653.01;COSTA;EL ORO;MICROEMPRESA;SOCIETARIO;3;8740,89;1280,28;14238,66;232,66
115961;ANÓNIMA;G4610.06;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;8586,65;1000;49909,82;-5813,5
97695;ANÓNIMA;G4761.03;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;10;8242,71;7997,61;9221,28;117,35
130501;ANÓNIMA;G4719.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;8000;8000;0;0
103115;ANÓNIMA;G4651.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;7977,36;-36938,5;20990;-9205,02
719332;ANÓNIMA;G4630.22;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;7931,86;3201,68;49923,5;1201,68
176256;ANÓNIMA;G4649.22;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;7515;1914,62;14356,42;383,15
111830;ANÓNIMA;G4659.93;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;7356,84;7356,84;0;0
106473;ANÓNIMA;G4652.02;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;7279,37;800;0;0
23076;RESPONSABILIDAD LIMITADA;G4641.11;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;6891,83;6746,99;0;3,23
138179;ANÓNIMA;G4649.24;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;6300;800;0;0
123890;ANÓNIMA;G4649.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;5940,57;5940,57;0;0
124377;ANÓNIMA;G4663.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;5925;5925;17609,59;199,59
76056;ANÓNIMA;G4630.12;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;8;5882,28;5882,28;5000;8,27
182524;ANÓNIMA;G4630.33;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;5786,58;3137,8;0;-522,63
715540;ANÓNIMA;G4690.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;5;5560,07;5000;0;0
307039;RESPONSABILIDAD LIMITADA;G4651.01;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;5434,38;3915,86;16026,65;1909,99
163173;RESPONSABILIDAD LIMITADA;G4763.00;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;5329,43;-7909,18;87135,28;-9908,55
63612;ANÓNIMA;G4791.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;5000;5000;0;0
138067;ANÓNIMA;G4663.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;5000;2050;1000;150
715187;ANÓNIMA;G4669.12;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;5000;5000;0;0
719514;ANÓNIMA;G4630.95;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;5000;5000;0;0
142687;ANÓNIMA;G4630.12;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;4879,27;910,35;52053,87;63,75
83231;ANÓNIMA;G4663.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;4607,6;4607,6;0;0
178147;ANÓNIMA;G4653.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;4491,53;4491,53;0;0
86143;ANÓNIMA;G4669.12;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;4462,06;4462,06;0;0
124860;ANÓNIMA;G4759.05;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;4459,6;1016,33;0;0
111022;ANÓNIMA;G4711.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;4428,19;3495,64;17800;708,46
136628;ANÓNIMA;G4659.94;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;5;4415,8;2903,62;32014;326,58
142060;ANÓNIMA;G4649.13;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;5;4406,81;4406,81;0;0
82897;ANÓNIMA;G4690.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;4098,59;3341,89;21332,91;2112,92
180415;RESPONSABILIDAD LIMITADA;G4630.91;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;4067,97;4067,97;33;-55,42
36499;ANÓNIMA;G4653.01;SIERRA;TUNGURAHUA;MICROEMPRESA;SOCIETARIO;4;4000;4000;0;0
34076;ANÓNIMA;G4721.04;COSTA;MANABI;MICROEMPRESA;SOCIETARIO;6;3800;3800;0;0
155665;ANÓNIMA;G4651.01;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;3794,95;3794,95;220;12
720122;ANÓNIMA;G4649.21;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;3;3236,05;-283,15;0;0
75552;ANÓNIMA;G4649.99;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;3206,22;3206,22;0;0
138608;RESPONSABILIDAD LIMITADA;G4730.01;SIERRA;AZUAY;MICROEMPRESA;SOCIETARIO;3;3000;3000;0;0
720323;ANÓNIMA;G4653.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;3000;3000;0;0
701145;ANÓNIMA;G4530.00;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;2967,64;2967,64;0;0
76715;ANÓNIMA;G4641.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;2966,24;800;0;0
73116;ANÓNIMA;G4761.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;2631,71;2631,71;0;0
310926;ANÓNIMA;G4641.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;2500;2500;0;0
